"join_field","model_code","ref_label","ref_percent","bps_name","state_class_id","age_category","canopy_category","value","cur_scls_count","groupveg","fri_allfir","bps_count","bps_acres","ref_scls_acres","cur_scls_acres","cur_percent"
"10431_2_3_6_7_B",NA,NA,NA,"Mediterranean California Mixed Evergreen Forest-Interior",NA,NA,NA,129,1637584,"Conifer",14,4292487,954626,NA,364189.674888,38.1500048806205
"10431_2_3_6_7_E",NA,NA,NA,"Mediterranean California Mixed Evergreen Forest-Interior",NA,NA,NA,130,1340843,"Conifer",14,4292487,954626,NA,298196.1085635,31.2369728784269
"10630_2_7_Barren or Sparse",NA,NA,NA,"North Pacific Broadleaf Landslide Forest and Shrubland",NA,NA,NA,131,1,"Hardwood",83,30283,6735,NA,0.2223945,0.00330218274279299
"11582_1_2_7_Developed",NA,NA,NA,"North Pacific Montane Riparian Woodland and Shrubland-Dry",NA,NA,NA,133,4630,"Riparian",155,43907,9765,NA,1029.686535,10.545015601157
"10280_2_3_Barren or Sparse",NA,NA,NA,"Mediterranean California Mesic Mixed Conifer Forest and Woodland",NA,NA,NA,139,450,"Conifer",15,874048,194383,NA,100.077525,0.0514845866588563
"10600_1_2_7_Developed",NA,NA,NA,"East Cascades Oak-Ponderosa Pine Forest and Woodland",NA,NA,NA,143,241743,"Conifer",28,1180331,262499,NA,53762.3136135,20.4809498352581
"11582_1_2_7_Agriculture",NA,NA,NA,"North Pacific Montane Riparian Woodland and Shrubland-Dry",NA,NA,NA,148,3872,"Riparian",155,43907,9765,NA,861.111504,8.8186393969071
"10270_2_3_7_Developed",NA,NA,NA,"Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland",NA,NA,NA,149,332897,"Conifer",8,3105749,690701,NA,74034.4618665,10.7187348365885
"10600_1_2_7_Barren or Sparse",NA,NA,NA,"East Cascades Oak-Ponderosa Pine Forest and Woodland",NA,NA,NA,150,199,"Conifer",28,1180331,262499,NA,44.2565055,0.0168596774972444
"10431_2_3_6_7_C",NA,NA,NA,"Mediterranean California Mixed Evergreen Forest-Interior",NA,NA,NA,151,276670,"Conifer",14,4292487,954626,NA,61529.886315,6.4454475925029
"10431_2_3_6_7_UE",NA,NA,NA,"Mediterranean California Mixed Evergreen Forest-Interior",NA,NA,NA,152,112396,"Conifer",14,4292487,954626,NA,24996.252222,2.61843541983936
"10431_2_3_6_7_A",NA,NA,NA,"Mediterranean California Mixed Evergreen Forest-Interior",NA,NA,NA,153,622960,"Conifer",14,4292487,954626,NA,138542.87772,14.5127987574569
"10431_2_3_6_7_D",NA,NA,NA,"Mediterranean California Mixed Evergreen Forest-Interior",NA,NA,NA,154,16770,"Conifer",14,4292487,954626,NA,3729.555765,0.390682604280456
"10020_Agriculture",NA,NA,NA,"Mediterranean California Sparsely Vegetated Systems",NA,NA,NA,155,10,"Sparse",NA,3232,719,NA,2.223945,0.309405940594059
"10432_2_3_Barren or Sparse",NA,NA,NA,"Mediterranean California Mixed Evergreen Forest-Coastal",NA,NA,NA,157,4402,"Conifer",40,2087249,464193,NA,978.980589,0.210899609965078
"10310_2_3_4_5_6_12_Developed",NA,NA,NA,"California Montane Jeffrey Pine(-Ponderosa Pine) Woodland",NA,NA,NA,158,6261,"Conifer",9,95857,21318,NA,1392.4119645,6.531604369008
"10210_2_3_6_7_Developed",NA,NA,NA,"Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland",NA,NA,NA,164,44430,"Conifer",9,951332,211571,NA,9880.987635,4.67029386165923
"10300_2_3_4_5_6_7_Developed",NA,NA,NA,"Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland",NA,NA,NA,165,145126,"Conifer",10,1114051,247759,NA,32275.224207,13.0268721988491
"10310_2_3_4_5_6_12_Barren or Sparse",NA,NA,NA,"California Montane Jeffrey Pine(-Ponderosa Pine) Woodland",NA,NA,NA,166,394,"Conifer",9,95857,21318,NA,87.623433,0.41102892850809
"10300_2_3_4_5_6_7_Barren or Sparse",NA,NA,NA,"Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland",NA,NA,NA,168,1245,"Conifer",10,1114051,247759,NA,276.8811525,0.111754309273094
"11582_1_2_7_UE",NA,NA,NA,"North Pacific Montane Riparian Woodland and Shrubland-Dry",NA,NA,NA,173,740,"Riparian",155,43907,9765,NA,164.57193,1.68538046325187
"10270_2_3_7_Barren or Sparse",NA,NA,NA,"Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland",NA,NA,NA,181,494,"Conifer",8,3105749,690701,NA,109.862883,0.0159059859634504
"10290_2_3_4_5_6_7_12_Developed",NA,NA,NA,"Mediterranean California Mixed Oak Woodland",NA,NA,NA,184,22638,"Hardwood",8,70540,15688,NA,5034.566691,32.0924298270485
"NA_Snow/Ice",NA,NA,NA,"Perennial Ice/Snow",NA,NA,NA,189,150,"Perennial Ice/Snow",NA,150,33,NA,33.359175,100
"11520_2_3_7_Developed",NA,NA,NA,"California Montane Riparian Systems",NA,NA,NA,196,12903,"Riparian",35,172681,38403,NA,2869.5562335,7.47215964697911
"10210_2_3_6_7_Barren or Sparse",NA,NA,NA,"Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland",NA,NA,NA,201,1017,"Conifer",9,951332,211571,NA,226.1752065,0.106902742680789
"10431_2_3_6_7_Barren or Sparse",NA,NA,NA,"Mediterranean California Mixed Evergreen Forest-Interior",NA,NA,NA,203,2096,"Conifer",14,4292487,954626,NA,466.138872,0.0488295014055954
"10290_2_3_4_5_6_7_12_Barren or Sparse",NA,NA,NA,"Mediterranean California Mixed Oak Woodland",NA,NA,NA,205,221,"Hardwood",8,70540,15688,NA,49.1491845,0.313297419903601
"11700_2_3_7_Developed",NA,NA,NA,"Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral",NA,NA,NA,208,16107,"Conifer",13,78157,17382,NA,3582.1082115,20.6085187507197
"11582_1_2_7_Barren or Sparse",NA,NA,NA,"North Pacific Montane Riparian Woodland and Shrubland-Dry",NA,NA,NA,215,11,"Riparian",155,43907,9765,NA,2.4463395,0.0250529528321224
"10320_2_3_7_Developed",NA,NA,NA,"Mediterranean California Red Fir Forest",NA,NA,NA,217,8034,"Conifer",25,141337,31433,NA,1786.717413,5.68428649256741
"10320_2_3_7_Barren or Sparse",NA,NA,NA,"Mediterranean California Red Fir Forest",NA,NA,NA,219,688,"Conifer",25,141337,31433,NA,153.007416,0.486779824108337
"11520_2_3_7_Barren or Sparse",NA,NA,NA,"California Montane Riparian Systems",NA,NA,NA,221,13,"Riparian",35,172681,38403,NA,2.8911285,0.00752833259015178
"10220_2_3_6_7_Barren or Sparse",NA,NA,NA,"Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland",NA,NA,NA,222,1071,"Conifer",9,295225,65656,NA,238.1845095,0.362774155305276
"11700_2_3_7_Barren or Sparse",NA,NA,NA,"Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral",NA,NA,NA,223,52,"Conifer",13,78157,17382,NA,11.564514,0.0665327481863429
"10150_2_3_4_Developed",NA,NA,NA,"California Coastal Redwood Forest",NA,NA,NA,225,7584,"Conifer",30,42789,9516,NA,1686.639888,17.7241814485031
"10150_2_3_4_Barren or Sparse",NA,NA,NA,"California Coastal Redwood Forest",NA,NA,NA,230,51,"Conifer",30,42789,9516,NA,11.3421195,0.119189511323004
"10280_4_6_7_12_A",NA,NA,NA,"Mediterranean California Mesic Mixed Conifer Forest and Woodland",NA,NA,NA,233,1,"Conifer",17,874048,194383,NA,0.2223945,0.000114410192575236
