"join_field","model_code","ref_label","ref_percent","bps_name","state_class_id","age_category","canopy_category","value","cur_scls_count","groupveg","fri_allfir","bps_count","bps_acres","ref_scls_acres","cur_scls_acres","cur_percent"
"10290_2_3_4_5_6_7_12_E","10290_2_3_4_5_6_7_12","E",10,"Mediterranean California Mixed Oak Woodland","Late1:CLS","Late1","CLS",185,5838,"Hardwood",8,70540,15688,1569,1298.339091,8.27615537283811
"10290_2_3_4_5_6_7_12_Agriculture","10290_2_3_4_5_6_7_12","Agriculture",0,"Mediterranean California Mixed Oak Woodland",NA,NA,NA,183,19218,"Hardwood",8,70540,15688,0,4273.977501,27.2441168131557
"10290_2_3_4_5_6_7_12_Urban","10290_2_3_4_5_6_7_12","Urban",0,"Mediterranean California Mixed Oak Woodland",NA,NA,NA,NA,NA,NA,NA,70540,15688,0,NA,NA
"10290_2_3_4_5_6_7_12_Water","10290_2_3_4_5_6_7_12","Water",0,"Mediterranean California Mixed Oak Woodland",NA,NA,NA,NA,NA,NA,NA,70540,15688,0,NA,NA
"10290_2_3_4_5_6_7_12_UN","10290_2_3_4_5_6_7_12","UN",0,"Mediterranean California Mixed Oak Woodland",NA,NA,NA,174,7916,"Hardwood",8,70540,15688,0,1760.474862,11.2220017011625
"10290_2_3_4_5_6_7_12_UE","10290_2_3_4_5_6_7_12","UE",0,"Mediterranean California Mixed Oak Woodland",NA,NA,NA,204,3292,"Hardwood",8,70540,15688,0,732.122694,4.66685568471789
"10300_2_3_4_5_6_7_A","10300_2_3_4_5_6_7","A",12,"Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland","Early1:ALL","Early1","ALL",182,68040,"Conifer",10,1114051,247759,29731,15131.72178,6.10744032364766
"10300_2_3_4_5_6_7_B","10300_2_3_4_5_6_7","B",30,"Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland","Mid1:CLS","Mid1","CLS",167,580350,"Conifer",10,1114051,247759,74328,129066.648075,52.0936653707954
"10300_2_3_4_5_6_7_C","10300_2_3_4_5_6_7","C",58,"Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland","Mid1:OPN","Mid1","OPN",171,183678,"Conifer",10,1114051,247759,143700,40848.976971,16.4873959989264
"10300_2_3_4_5_6_7_D","10300_2_3_4_5_6_7","D",NA,"Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland",NA,NA,NA,NA,NA,NA,NA,1114051,247759,NA,NA,NA
"10300_2_3_4_5_6_7_E","10300_2_3_4_5_6_7","E",NA,"Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland",NA,NA,NA,NA,NA,NA,NA,1114051,247759,NA,NA,NA
"10300_2_3_4_5_6_7_Agriculture","10300_2_3_4_5_6_7","Agriculture",0,"Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland",NA,NA,NA,169,99732,"Conifer",10,1114051,247759,0,22179.848274,8.95219339150542
"10300_2_3_4_5_6_7_Urban","10300_2_3_4_5_6_7","Urban",0,"Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland",NA,NA,NA,NA,NA,NA,NA,1114051,247759,0,NA,NA
"10300_2_3_4_5_6_7_Water","10300_2_3_4_5_6_7","Water",0,"Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland",NA,NA,NA,NA,NA,NA,NA,1114051,247759,0,NA,NA
"10300_2_3_4_5_6_7_UN","10300_2_3_4_5_6_7","UN",0,"Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland",NA,NA,NA,NA,NA,NA,NA,1114051,247759,0,NA,NA
"10300_2_3_4_5_6_7_UE","10300_2_3_4_5_6_7","UE",0,"Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland",NA,NA,NA,180,35880,"Conifer",10,1114051,247759,0,7979.51466,3.22067840700291
"10310_2_3_4_5_6_12_A","10310_2_3_4_5_6_12","A",17,"California Montane Jeffrey Pine(-Ponderosa Pine) Woodland","Early1:ALL","Early1","ALL",156,59994,"Conifer",9,95857,21318,3624,13342.335633,62.5869785200872
"10310_2_3_4_5_6_12_B","10310_2_3_4_5_6_12","B",6,"California Montane Jeffrey Pine(-Ponderosa Pine) Woodland","Mid1:CLS","Mid1","CLS",104,13686,"Conifer",9,95857,21318,1279,3043.691127,14.2775175521871
"10310_2_3_4_5_6_12_C","10310_2_3_4_5_6_12","C",31,"California Montane Jeffrey Pine(-Ponderosa Pine) Woodland","Mid1:OPN","Mid1","OPN",110,8783,"Conifer",9,95857,21318,6609,1953.2908935,9.16260679971207
"10310_2_3_4_5_6_12_D","10310_2_3_4_5_6_12","D",1,"California Montane Jeffrey Pine(-Ponderosa Pine) Woodland","Late1:CLS","Late1","CLS",200,380,"Conifer",9,95857,21318,213,84.50991,0.396423839677854
"10310_2_3_4_5_6_12_E","10310_2_3_4_5_6_12","E",45,"California Montane Jeffrey Pine(-Ponderosa Pine) Woodland","Late1:OPN","Late1","OPN",160,3454,"Conifer",9,95857,21318,9593,768.150603,3.60328405854554
"10310_2_3_4_5_6_12_Agriculture","10310_2_3_4_5_6_12","Agriculture",0,"California Montane Jeffrey Pine(-Ponderosa Pine) Woodland",NA,NA,NA,159,239,"Conifer",9,95857,21318,0,53.1522855,0.249329730744755
"10310_2_3_4_5_6_12_Urban","10310_2_3_4_5_6_12","Urban",0,"California Montane Jeffrey Pine(-Ponderosa Pine) Woodland",NA,NA,NA,NA,NA,NA,NA,95857,21318,0,NA,NA
"10310_2_3_4_5_6_12_Water","10310_2_3_4_5_6_12","Water",0,"California Montane Jeffrey Pine(-Ponderosa Pine) Woodland",NA,NA,NA,NA,NA,NA,NA,95857,21318,0,NA,NA
"10310_2_3_4_5_6_12_UN","10310_2_3_4_5_6_12","UN",0,"California Montane Jeffrey Pine(-Ponderosa Pine) Woodland",NA,NA,NA,NA,NA,NA,NA,95857,21318,0,NA,NA
"10310_2_3_4_5_6_12_UE","10310_2_3_4_5_6_12","UE",0,"California Montane Jeffrey Pine(-Ponderosa Pine) Woodland",NA,NA,NA,161,2666,"Conifer",9,95857,21318,0,592.903737,2.78122620152936
"10320_2_3_7_A","10320_2_3_7","A",13,"Mediterranean California Red Fir Forest","Early1:ALL","Early1","ALL",220,20084,"Conifer",25,141337,31433,4086,4466.571138,14.2100087026044
"10320_2_3_7_B","10320_2_3_7","B",19,"Mediterranean California Red Fir Forest","Mid1:CLS","Mid1","CLS",216,95506,"Conifer",25,141337,31433,5972,21240.009117,67.5732469204808
"10320_2_3_7_C","10320_2_3_7","C",22,"Mediterranean California Red Fir Forest","Mid1:OPN","Mid1","OPN",218,16931,"Conifer",25,141337,31433,6915,3765.3612795,11.9791703517126
"10320_2_3_7_D","10320_2_3_7","D",26,"Mediterranean California Red Fir Forest","Late1:OPN","Late1","OPN",NA,NA,NA,NA,141337,31433,8172,NA,NA
"10320_2_3_7_E","10320_2_3_7","E",20,"Mediterranean California Red Fir Forest","Late1:CLS","Late1","CLS",NA,NA,NA,NA,141337,31433,6287,NA,NA
"10320_2_3_7_Agriculture","10320_2_3_7","Agriculture",0,"Mediterranean California Red Fir Forest",NA,NA,NA,231,88,"Conifer",25,141337,31433,0,19.570716,0.062262535641764
"10320_2_3_7_Urban","10320_2_3_7","Urban",0,"Mediterranean California Red Fir Forest",NA,NA,NA,NA,NA,NA,NA,141337,31433,0,NA,NA
"10320_2_3_7_Water","10320_2_3_7","Water",0,"Mediterranean California Red Fir Forest",NA,NA,NA,NA,NA,NA,NA,141337,31433,0,NA,NA
"10320_2_3_7_UN","10320_2_3_7","UN",0,"Mediterranean California Red Fir Forest",NA,NA,NA,NA,NA,NA,NA,141337,31433,0,NA,NA
"10320_2_3_7_UE","10320_2_3_7","UE",0,"Mediterranean California Red Fir Forest",NA,NA,NA,232,6,"Conifer",25,141337,31433,0,1.334367,0.00424517288466573
"10350_1_2_7_A","10350_1_2_7","A",6,"North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland","Early1:ALL","Early1","ALL",51,71839,"Conifer",35,2329128,517985,31079,15976.5984855,3.08437320748366
"10350_1_2_7_B","10350_1_2_7","B",10,"North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland","Mid1:CLS","Mid1","CLS",36,723429,"Conifer",35,2329128,517985,51799,160886.6307405,31.060079136913
"10350_1_2_7_C","10350_1_2_7","C",9,"North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland","Mid1:OPN","Mid1","OPN",34,91366,"Conifer",35,2329128,517985,46619,20319.295887,3.92275564073765
"10350_1_2_7_D","10350_1_2_7","D",44,"North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland","Late1:OPN","Late1","OPN",69,5254,"Conifer",35,2329128,517985,227914,1168.460703,0.225577984550441
"10350_1_2_7_E","10350_1_2_7","E",31,"North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland","Late1:CLS","Late1","CLS",30,325148,"Conifer",35,2329128,517985,160575,72311.126886,13.9600743282464
"10350_1_2_7_Agriculture","10350_1_2_7","Agriculture",0,"North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland",NA,NA,NA,57,452055,"Conifer",35,2329128,517985,0,100534.5456975,19.4087658557194
"10350_1_2_7_Urban","10350_1_2_7","Urban",0,"North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland",NA,NA,NA,NA,NA,NA,NA,2329128,517985,0,NA,NA
"10350_1_2_7_Water","10350_1_2_7","Water",0,"North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland",NA,NA,NA,NA,NA,NA,NA,2329128,517985,0,NA,NA
"10350_1_2_7_UN","10350_1_2_7","UN",0,"North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland",NA,NA,NA,NA,NA,NA,NA,2329128,517985,0,NA,NA
"10350_1_2_7_UE","10350_1_2_7","UE",0,"North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland",NA,NA,NA,54,84349,"Conifer",35,2329128,517985,0,18758.7536805,3.62148409190049
"10360_1_2_A","10360_1_2","A",5,"North Pacific Hypermaritime Sitka Spruce Forest","Early1:ALL","Early1","ALL",16,303364,"Conifer",657,4040772,898645,44932,67466.485098,7.50757528511879
"10360_1_2_B","10360_1_2","B",9,"North Pacific Hypermaritime Sitka Spruce Forest","Mid1:CLS","Mid1","CLS",15,1813976,"Conifer",657,4040772,898645,80878,403418.285532,44.8918177021619
"10360_1_2_C","10360_1_2","C",2,"North Pacific Hypermaritime Sitka Spruce Forest","Mid2:CLS","Mid2","CLS",10,476736,"Conifer",657,4040772,898645,17973,106023.464352,11.7981415432497
"10360_1_2_D","10360_1_2","D",11,"North Pacific Hypermaritime Sitka Spruce Forest","Mid2:OPN","Mid2","OPN",9,97416,"Conifer",657,4040772,898645,98851,21664.782612,2.41082644603556
"10360_1_2_E","10360_1_2","E",73,"North Pacific Hypermaritime Sitka Spruce Forest","Late1:CLS","Late1","CLS",14,475487,"Conifer",657,4040772,898645,656011,105745.6936215,11.7672316082174
"10360_1_2_Agriculture","10360_1_2","Agriculture",0,"North Pacific Hypermaritime Sitka Spruce Forest",NA,NA,NA,20,79567,"Conifer",657,4040772,898645,0,17695.2631815,1.96910392370567
"10360_1_2_Urban","10360_1_2","Urban",0,"North Pacific Hypermaritime Sitka Spruce Forest",NA,NA,NA,NA,NA,NA,NA,4040772,898645,0,NA,NA
"10360_1_2_Water","10360_1_2","Water",0,"North Pacific Hypermaritime Sitka Spruce Forest",NA,NA,NA,NA,NA,NA,NA,4040772,898645,0,NA,NA
"10360_1_2_UN","10360_1_2","UN",0,"North Pacific Hypermaritime Sitka Spruce Forest",NA,NA,NA,NA,NA,NA,NA,4040772,898645,0,NA,NA
"10360_1_2_UE","10360_1_2","UE",0,"North Pacific Hypermaritime Sitka Spruce Forest",NA,NA,NA,11,214170,"Conifer",657,4040772,898645,0,47630.230065,5.30022480852669
"10370_1_2_7_A","10370_1_2_7","A",6,"North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest","Early1:ALL","Early1","ALL",58,418185,"Conifer",80,7963128,1770956,106257,93002.0439825,5.25151674065769
"10370_1_2_7_B","10370_1_2_7","B",17,"North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest","Mid1:CLS","Mid1","CLS",65,3108096,"Conifer",80,7963128,1770956,301062,691223.455872,39.0310943136918
"10370_1_2_7_C","10370_1_2_7","C",6,"North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest","Mid1:OPN","Mid1","OPN",64,1334506,"Conifer",80,7963128,1770956,106257,296786.794617,16.7585652271319
"10370_1_2_7_D","10370_1_2_7","D",16,"North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest","Late1:OPN","Late1","OPN",56,91804,"Conifer",80,7963128,1770956,283353,20416.704678,1.15286354809316
"10370_1_2_7_E","10370_1_2_7","E",55,"North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest","Late1:CLS","Late1","CLS",55,1452927,"Conifer",80,7963128,1770956,974026,323122.9737015,18.2456818476358
"10370_1_2_7_Agriculture","10370_1_2_7","Agriculture",0,"North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest",NA,NA,NA,67,181250,"Conifer",80,7963128,1770956,0,40309.003125,2.27611561687819
"10370_1_2_7_Urban","10370_1_2_7","Urban",0,"North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest",NA,NA,NA,NA,NA,NA,NA,7963128,1770956,0,NA,NA
"10370_1_2_7_Water","10370_1_2_7","Water",0,"North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest",NA,NA,NA,NA,NA,NA,NA,7963128,1770956,0,NA,NA
"10370_1_2_7_UN","10370_1_2_7","UN",0,"North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest",NA,NA,NA,NA,NA,NA,NA,7963128,1770956,0,NA,NA
"10370_1_2_7_UE","10370_1_2_7","UE",0,"North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest",NA,NA,NA,61,461583,"Conifer",80,7963128,1770956,0,102653.5204935,5.79650358502337
"10390_1_2_3_7_A","10390_1_2_3_7","A",5,"North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest","Early1:ALL","Early1","ALL",39,486565,"Conifer",404,10810174,2404123,120206,108209.3798925,4.50099138089729
"10390_1_2_3_7_B","10390_1_2_3_7","B",14,"North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest","Mid1:CLS","Mid1","CLS",49,6345049,"Conifer",404,10810174,2404123,336577,1411103.9998305,58.6951606884404
"10390_1_2_3_7_C","10390_1_2_3_7","C",5,"North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest","Mid1:OPN","Mid1","OPN",40,2195005,"Conifer",404,10810174,2404123,120206,488157.0394725,20.3049923155723
"10390_1_2_3_7_D","10390_1_2_3_7","D",5,"North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest","Late1:OPN","Late1","OPN",78,199,"Conifer",404,10810174,2404123,120206,44.2565055,0.00184085843576616
"10390_1_2_3_7_E","10390_1_2_3_7","E",71,"North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest","Late1:CLS","Late1","CLS",NA,NA,NA,NA,10810174,2404123,1706928,NA,NA
"10390_1_2_3_7_Agriculture","10390_1_2_3_7","Agriculture",0,"North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest",NA,NA,NA,41,381995,"Conifer",404,10810174,2404123,0,84953.5870275,3.53366190035424
"10390_1_2_3_7_Urban","10390_1_2_3_7","Urban",0,"North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest",NA,NA,NA,NA,NA,NA,NA,10810174,2404123,0,NA,NA
"10390_1_2_3_7_Water","10390_1_2_3_7","Water",0,"North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest",NA,NA,NA,NA,NA,NA,NA,10810174,2404123,0,NA,NA
"10390_1_2_3_7_UN","10390_1_2_3_7","UN",0,"North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest",NA,NA,NA,NA,NA,NA,NA,10810174,2404123,0,NA,NA
"10390_1_2_3_7_UE","10390_1_2_3_7","UE",0,"North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest",NA,NA,NA,59,525495,"Conifer",404,10810174,2404123,0,116867.1977775,4.86111509398461
"10431_2_3_6_7_A","10431_2_3_6_7","A",17,"Mediterranean California Mixed Evergreen Forest - Interior","Early1:ALL","Early1","ALL",NA,NA,NA,NA,0,0,0,NA,NA
"10431_2_3_6_7_B","10431_2_3_6_7","B",17,"Mediterranean California Mixed Evergreen Forest - Interior","Mid1:CLS","Mid1","CLS",NA,NA,NA,NA,0,0,0,NA,NA
"10431_2_3_6_7_C","10431_2_3_6_7","C",19,"Mediterranean California Mixed Evergreen Forest - Interior","Mid1:OPN","Mid1","OPN",NA,NA,NA,NA,0,0,0,NA,NA
"10431_2_3_6_7_D","10431_2_3_6_7","D",27,"Mediterranean California Mixed Evergreen Forest - Interior","Late1:OPN","Late1","OPN",NA,NA,NA,NA,0,0,0,NA,NA
"10431_2_3_6_7_E","10431_2_3_6_7","E",20,"Mediterranean California Mixed Evergreen Forest - Interior","Late1:CLS","Late1","CLS",NA,NA,NA,NA,0,0,0,NA,NA
"10431_2_3_6_7_Agriculture","10431_2_3_6_7","Agriculture",0,"Mediterranean California Mixed Evergreen Forest - Interior",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"10431_2_3_6_7_Urban","10431_2_3_6_7","Urban",0,"Mediterranean California Mixed Evergreen Forest - Interior",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"10431_2_3_6_7_Water","10431_2_3_6_7","Water",0,"Mediterranean California Mixed Evergreen Forest - Interior",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"10431_2_3_6_7_UN","10431_2_3_6_7","UN",0,"Mediterranean California Mixed Evergreen Forest - Interior",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"10431_2_3_6_7_UE","10431_2_3_6_7","UE",0,"Mediterranean California Mixed Evergreen Forest - Interior",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"10432_2_3_A","10432_2_3","A",12,"Mediterranean California Mixed Evergreen Forest - Coastal","Early1:ALL","Early1","ALL",NA,NA,NA,NA,0,0,0,NA,NA
"10432_2_3_B","10432_2_3","B",16,"Mediterranean California Mixed Evergreen Forest - Coastal","Mid1:CLS","Mid1","CLS",NA,NA,NA,NA,0,0,0,NA,NA
"10432_2_3_C","10432_2_3","C",15,"Mediterranean California Mixed Evergreen Forest - Coastal","Mid1:OPN","Mid1","OPN",NA,NA,NA,NA,0,0,0,NA,NA
"10432_2_3_D","10432_2_3","D",30,"Mediterranean California Mixed Evergreen Forest - Coastal","Late1:OPN","Late1","OPN",NA,NA,NA,NA,0,0,0,NA,NA
"10432_2_3_E","10432_2_3","E",27,"Mediterranean California Mixed Evergreen Forest - Coastal","Late1:CLS","Late1","CLS",NA,NA,NA,NA,0,0,0,NA,NA
"10432_2_3_Agriculture","10432_2_3","Agriculture",0,"Mediterranean California Mixed Evergreen Forest - Coastal",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"10432_2_3_Urban","10432_2_3","Urban",0,"Mediterranean California Mixed Evergreen Forest - Coastal",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"10432_2_3_Water","10432_2_3","Water",0,"Mediterranean California Mixed Evergreen Forest - Coastal",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"10432_2_3_UN","10432_2_3","UN",0,"Mediterranean California Mixed Evergreen Forest - Coastal",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"10432_2_3_UE","10432_2_3","UE",0,"Mediterranean California Mixed Evergreen Forest - Coastal",NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"10600_1_2_7_A","10600_1_2_7","A",10,"East Cascades Oak-Ponderosa Pine Forest and Woodland","Early1:ALL","Early1","ALL",142,34784,"Conifer",28,1180331,262499,26250,7735.770288,2.94696996012136
"10600_1_2_7_B","10600_1_2_7","B",7,"East Cascades Oak-Ponderosa Pine Forest and Woodland","Mid1:CLS","Mid1","CLS",135,291066,"Conifer",28,1180331,262499,18375,64731.477537,24.659692916648
"10600_1_2_7_C","10600_1_2_7","C",8,"East Cascades Oak-Ponderosa Pine Forest and Woodland","Mid1:OPN","Mid1","OPN",144,39696,"Conifer",28,1180331,262499,21000,8828.172072,3.36312441171163
"10600_1_2_7_D","10600_1_2_7","D",66,"East Cascades Oak-Ponderosa Pine Forest and Woodland","Late1:OPN","Late1","OPN",147,2869,"Conifer",28,1180331,262499,173249,638.0498205,0.24306741075173
"10600_1_2_7_E","10600_1_2_7","E",9,"East Cascades Oak-Ponderosa Pine Forest and Woodland","Late1:CLS","Late1","CLS",136,134601,"Conifer",28,1180331,262499,23625,29934.5220945,11.4036655819427
"10600_1_2_7_Agriculture","10600_1_2_7","Agriculture",0,"East Cascades Oak-Ponderosa Pine Forest and Woodland",NA,NA,NA,145,372140,"Conifer",28,1180331,262499,0,82761.88923,31.5284441398218
"10600_1_2_7_Urban","10600_1_2_7","Urban",0,"East Cascades Oak-Ponderosa Pine Forest and Woodland",NA,NA,NA,NA,NA,NA,NA,1180331,262499,0,NA,NA
"10600_1_2_7_Water","10600_1_2_7","Water",0,"East Cascades Oak-Ponderosa Pine Forest and Woodland",NA,NA,NA,NA,NA,NA,NA,1180331,262499,0,NA,NA
"10600_1_2_7_UN","10600_1_2_7","UN",0,"East Cascades Oak-Ponderosa Pine Forest and Woodland",NA,NA,NA,134,15123,"Conifer",28,1180331,262499,0,3363.2720235,1.2812507677931
"10600_1_2_7_UE","10600_1_2_7","UE",0,"East Cascades Oak-Ponderosa Pine Forest and Woodland",NA,NA,NA,146,48110,"Conifer",28,1180331,262499,0,10699.399395,4.07597529845442
"10630_2_7_A","10630_2_7","A",39,"North Pacific Broadleaf Landslide Forest and Shrubland","Early1:ALL","Early1","ALL",71,1810,"Hardwood",83,30283,6735,2627,402.534045,5.9769507644553
"10630_2_7_B","10630_2_7","B",61,"North Pacific Broadleaf Landslide Forest and Shrubland","Late1:ALL","Late1","ALL",70,26135,"Hardwood",83,30283,6735,4108,5812.2802575,86.3025459828947
"10630_2_7_C","10630_2_7","C",NA,"North Pacific Broadleaf Landslide Forest and Shrubland",NA,NA,NA,NA,NA,NA,NA,30283,6735,NA,NA,NA
"10630_2_7_D","10630_2_7","D",NA,"North Pacific Broadleaf Landslide Forest and Shrubland",NA,NA,NA,NA,NA,NA,NA,30283,6735,NA,NA,NA
"10630_2_7_E","10630_2_7","E",NA,"North Pacific Broadleaf Landslide Forest and Shrubland",NA,NA,NA,NA,NA,NA,NA,30283,6735,NA,NA,NA
"10630_2_7_Agriculture","10630_2_7","Agriculture",0,"North Pacific Broadleaf Landslide Forest and Shrubland",NA,NA,NA,73,146,"Hardwood",83,30283,6735,0,32.469597,0.482118680447776
"10630_2_7_Urban","10630_2_7","Urban",0,"North Pacific Broadleaf Landslide Forest and Shrubland",NA,NA,NA,NA,NA,NA,NA,30283,6735,0,NA,NA
"10630_2_7_Water","10630_2_7","Water",0,"North Pacific Broadleaf Landslide Forest and Shrubland",NA,NA,NA,NA,NA,NA,NA,30283,6735,0,NA,NA
"10630_2_7_UN","10630_2_7","UN",0,"North Pacific Broadleaf Landslide Forest and Shrubland",NA,NA,NA,NA,NA,NA,NA,30283,6735,0,NA,NA
"10630_2_7_UE","10630_2_7","UE",0,"North Pacific Broadleaf Landslide Forest and Shrubland",NA,NA,NA,75,1407,"Hardwood",83,30283,6735,0,312.9090615,4.64617111910973
"11200_1_2_7_A","11200_1_2_7","A",9,"Willamette Valley Upland Prairie and Savanna","Early1:ALL","Early1","ALL",121,40830,"Hardwood",10,4028177,895844,80626,9080.367435,1.01360987861258
"11200_1_2_7_B","11200_1_2_7","B",2,"Willamette Valley Upland Prairie and Savanna","Mid1:CLS","Mid1","CLS",119,156887,"Hardwood",10,4028177,895844,17917,34890.8059215,3.89473948140809
"11200_1_2_7_C","11200_1_2_7","C",20,"Willamette Valley Upland Prairie and Savanna","Mid1:OPN","Mid1","OPN",126,1461,"Hardwood",10,4028177,895844,179169,324.9183645,0.0362695085146457
"11200_1_2_7_D","11200_1_2_7","D",68,"Willamette Valley Upland Prairie and Savanna","Late1:OPN","Late1","OPN",120,4272,"Hardwood",10,4028177,895844,609174,950.069304,0.106052936601346
"11200_1_2_7_E","11200_1_2_7","E",1,"Willamette Valley Upland Prairie and Savanna","Late1:CLS","Late1","CLS",123,53668,"Hardwood",10,4028177,895844,8958,11935.468026,1.33231484118002
"11200_1_2_7_Agriculture","11200_1_2_7","Agriculture",0,"Willamette Valley Upland Prairie and Savanna",NA,NA,NA,122,2782789,"Hardwood",10,4028177,895844,0,618876.9682605,69.0830864681468
"11200_1_2_7_Urban","11200_1_2_7","Urban",0,"Willamette Valley Upland Prairie and Savanna",NA,NA,NA,NA,NA,NA,NA,4028177,895844,0,NA,NA
"11200_1_2_7_Water","11200_1_2_7","Water",0,"Willamette Valley Upland Prairie and Savanna",NA,NA,NA,NA,NA,NA,NA,4028177,895844,0,NA,NA
"11200_1_2_7_UN","11200_1_2_7","UN",0,"Willamette Valley Upland Prairie and Savanna",NA,NA,NA,NA,NA,NA,NA,4028177,895844,0,NA,NA
"11200_1_2_7_UE","11200_1_2_7","UE",0,"Willamette Valley Upland Prairie and Savanna",NA,NA,NA,124,19231,"Hardwood",10,4028177,895844,0,4276.8686295,0.477411990585319
"11280_2_3_4_A","11280_2_3_4","A",5,"Northern California Coastal Scrub","Early1:ALL","Early1","ALL",47,179,"Shrubland",110,4295,955,48,39.8086155,4.16763678696158
"11280_2_3_4_B","11280_2_3_4","B",15,"Northern California Coastal Scrub","Mid1:CLS","Mid1","CLS",46,254,"Shrubland",110,4295,955,143,56.488203,5.91385331781141
"11280_2_3_4_C","11280_2_3_4","C",80,"Northern California Coastal Scrub","Late1:CLS","Late1","CLS",45,1178,"Shrubland",110,4295,955,764,261.980721,27.4272409778813
"11280_2_3_4_D","11280_2_3_4","D",NA,"Northern California Coastal Scrub",NA,NA,NA,NA,NA,NA,NA,4295,955,NA,NA,NA
"11280_2_3_4_E","11280_2_3_4","E",NA,"Northern California Coastal Scrub",NA,NA,NA,NA,NA,NA,NA,4295,955,NA,NA,NA
"11280_2_3_4_Agriculture","11280_2_3_4","Agriculture",0,"Northern California Coastal Scrub",NA,NA,NA,21,93,"Shrubland",110,4295,955,0,20.6826885,2.16530849825378
"11280_2_3_4_Urban","11280_2_3_4","Urban",0,"Northern California Coastal Scrub",NA,NA,NA,NA,NA,NA,NA,4295,955,0,NA,NA
"11280_2_3_4_Water","11280_2_3_4","Water",0,"Northern California Coastal Scrub",NA,NA,NA,NA,NA,NA,NA,4295,955,0,NA,NA
"11280_2_3_4_UN","11280_2_3_4","UN",0,"Northern California Coastal Scrub",NA,NA,NA,NA,NA,NA,NA,4295,955,0,NA,NA
"11280_2_3_4_UE","11280_2_3_4","UE",0,"Northern California Coastal Scrub",NA,NA,NA,50,227,"Shrubland",110,4295,955,0,50.4835515,5.28521536670547
"11310_2_3_4_A","11310_2_3_4","A",51,"California Northern Coastal Grassland","Early1:ALL","Early1","ALL",31,12574,"Grassland",2,118229,26293,13410,2796.388443,10.6352925255225
"11310_2_3_4_B","11310_2_3_4","B",41,"California Northern Coastal Grassland","Mid1:CLS","Mid1","CLS",18,18426,"Grassland",2,118229,26293,10780,4097.841057,15.5850087541974
"11310_2_3_4_C","11310_2_3_4","C",8,"California Northern Coastal Grassland","Late1:OPN","Late1","OPN",12,28115,"Grassland",2,118229,26293,2103,6252.6213675,23.7801216283653
