OID_,Value,Count,Clip_OutRaster_LC20_SCla_220,Clip_OutRaster_LC16_BPS_200,LABEL,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_ALLFIR
117,117,5918.000000000000000,2,784,B,11582_1_2_7,North Pacific Montane Riparian Woodland and Shrubland-Dry,Riparian,155
118,118,968447.000000000000000,120,777,Developed,11200_1_2_7,Willamette Valley Upland Prairie and Savanna,Hardwood,10
119,119,156887.000000000000000,2,777,B,11200_1_2_7,Willamette Valley Upland Prairie and Savanna,Hardwood,10
120,120,4272.000000000000000,4,777,D,11200_1_2_7,Willamette Valley Upland Prairie and Savanna,Hardwood,10
121,121,40830.000000000000000,1,777,A,11200_1_2_7,Willamette Valley Upland Prairie and Savanna,Hardwood,10
122,122,2782789.000000000000000,180,777,Agriculture,11200_1_2_7,Willamette Valley Upland Prairie and Savanna,Hardwood,10
123,123,53668.000000000000000,5,777,E,11200_1_2_7,Willamette Valley Upland Prairie and Savanna,Hardwood,10
124,124,19231.000000000000000,7,777,UE,11200_1_2_7,Willamette Valley Upland Prairie and Savanna,Hardwood,10
125,125,592.000000000000000,132,777,Barren or Sparse,11200_1_2_7,Willamette Valley Upland Prairie and Savanna,Hardwood,10
126,126,1461.000000000000000,3,777,C,11200_1_2_7,Willamette Valley Upland Prairie and Savanna,Hardwood,10
127,127,35130.000000000000000,180,2720,Agriculture,10431_2_3_6_7,Mediterranean California Mixed Evergreen Forest-Interior,Conifer,14
128,128,248038.000000000000000,120,2720,Developed,10431_2_3_6_7,Mediterranean California Mixed Evergreen Forest-Interior,Conifer,14
129,129,1637584.000000000000000,2,2720,B,10431_2_3_6_7,Mediterranean California Mixed Evergreen Forest-Interior,Conifer,14
130,130,1340843.000000000000000,5,2720,E,10431_2_3_6_7,Mediterranean California Mixed Evergreen Forest-Interior,Conifer,14
131,131,1.000000000000000,132,776,Barren or Sparse,10630_2_7,North Pacific Broadleaf Landslide Forest and Shrubland,Hardwood,83
