OID_,Value,Count,Clip_OutRaster_LC20_SCla_220,Clip_OutRaster_LC16_BPS_200,LABEL,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_ALLFIR
181,181,494.000000000000000,132,764,Barren or Sparse,10270_2_3_7,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Conifer,8
182,182,68040.000000000000000,1,767,A,10300_2_3_4_5_6_7,Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland,Conifer,10
183,183,19218.000000000000000,180,766,Agriculture,10290_2_3_4_5_6_7_12,Mediterranean California Mixed Oak Woodland,Hardwood,8
184,184,22638.000000000000000,120,766,Developed,10290_2_3_4_5_6_7_12,Mediterranean California Mixed Oak Woodland,Hardwood,8
185,185,5838.000000000000000,5,766,E,10290_2_3_4_5_6_7_12,Mediterranean California Mixed Oak Woodland,Hardwood,8
186,186,2917.000000000000000,4,766,D,10290_2_3_4_5_6_7_12,Mediterranean California Mixed Oak Woodland,Hardwood,8
187,187,8136.000000000000000,1,766,A,10290_2_3_4_5_6_7_12,Mediterranean California Mixed Oak Woodland,Hardwood,8
188,188,4002.000000000000000,4,763,D,10220_2_3_6_7,Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,Conifer,9
189,189,150.000000000000000,112,12,Snow/Ice,NA,Perennial Ice/Snow,Perennial Ice/Snow,NA
190,190,24294.000000000000000,4,762,D,10210_2_3_6_7,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,Conifer,9
191,191,15542.000000000000000,7,762,UE,10210_2_3_6_7,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,Conifer,9
192,192,2508.000000000000000,180,762,Agriculture,10210_2_3_6_7,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,Conifer,9
193,193,143798.000000000000000,5,762,E,10210_2_3_6_7,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,Conifer,9
194,194,145607.000000000000000,3,780,C,11520_2_3_7,California Montane Riparian Systems,Riparian,35
195,195,7107.000000000000000,1,780,A,11520_2_3_7,California Montane Riparian Systems,Riparian,35
196,196,12903.000000000000000,120,780,Developed,11520_2_3_7,California Montane Riparian Systems,Riparian,35
197,197,3331.000000000000000,7,780,UE,11520_2_3_7,California Montane Riparian Systems,Riparian,35
198,198,2183.000000000000000,2,780,B,11520_2_3_7,California Montane Riparian Systems,Riparian,35
199,199,1537.000000000000000,180,780,Agriculture,11520_2_3_7,California Montane Riparian Systems,Riparian,35
200,200,380.000000000000000,4,768,D,10310_2_3_4_5_6_12,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,Conifer,9
201,201,1017.000000000000000,132,762,Barren or Sparse,10210_2_3_6_7,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,Conifer,9
202,202,7589.000000000000000,3,761,C,10150_2_3_4,California Coastal Redwood Forest,Conifer,30
203,203,2096.000000000000000,132,2720,Barren or Sparse,10431_2_3_6_7,Mediterranean California Mixed Evergreen Forest-Interior,Conifer,14
204,204,3292.000000000000000,7,766,UE,10290_2_3_4_5_6_7_12,Mediterranean California Mixed Oak Woodland,Hardwood,8
205,205,221.000000000000000,132,766,Barren or Sparse,10290_2_3_4_5_6_7_12,Mediterranean California Mixed Oak Woodland,Hardwood,8
206,206,267.000000000000000,3,766,C,10290_2_3_4_5_6_7_12,Mediterranean California Mixed Oak Woodland,Hardwood,8
207,207,24742.000000000000000,6,785,UN,11700_2_3_7,Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,Conifer,13
208,208,16107.000000000000000,120,785,Developed,11700_2_3_7,Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,Conifer,13
209,209,2771.000000000000000,7,785,UE,11700_2_3_7,Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,Conifer,13
210,210,4192.000000000000000,180,785,Agriculture,11700_2_3_7,Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,Conifer,13
211,211,5589.000000000000000,3,785,C,11700_2_3_7,Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,Conifer,13
212,212,597.000000000000000,2,785,B,11700_2_3_7,Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,Conifer,13
213,213,24107.000000000000000,1,785,A,11700_2_3_7,Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,Conifer,13
214,214,97.000000000000000,2,766,B,10290_2_3_4_5_6_7_12,Mediterranean California Mixed Oak Woodland,Hardwood,8
215,215,11.000000000000000,132,784,Barren or Sparse,11582_1_2_7,North Pacific Montane Riparian Woodland and Shrubland-Dry,Riparian,155
216,216,95506.000000000000000,2,769,B,10320_2_3_7,Mediterranean California Red Fir Forest,Conifer,25
217,217,8034.000000000000000,120,769,Developed,10320_2_3_7,Mediterranean California Red Fir Forest,Conifer,25
218,218,16931.000000000000000,3,769,C,10320_2_3_7,Mediterranean California Red Fir Forest,Conifer,25
219,219,688.000000000000000,132,769,Barren or Sparse,10320_2_3_7,Mediterranean California Red Fir Forest,Conifer,25
220,220,20084.000000000000000,1,769,A,10320_2_3_7,Mediterranean California Red Fir Forest,Conifer,25
221,221,13.000000000000000,132,780,Barren or Sparse,11520_2_3_7,California Montane Riparian Systems,Riparian,35
222,222,1071.000000000000000,132,763,Barren or Sparse,10220_2_3_6_7,Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,Conifer,9
223,223,52.000000000000000,132,785,Barren or Sparse,11700_2_3_7,Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,Conifer,13
224,224,20941.000000000000000,2,761,B,10150_2_3_4,California Coastal Redwood Forest,Conifer,30
225,225,7584.000000000000000,120,761,Developed,10150_2_3_4,California Coastal Redwood Forest,Conifer,30
226,226,1067.000000000000000,7,761,UE,10150_2_3_4,California Coastal Redwood Forest,Conifer,30
227,227,3620.000000000000000,1,761,A,10150_2_3_4,California Coastal Redwood Forest,Conifer,30
228,228,758.000000000000000,6,761,UN,10150_2_3_4,California Coastal Redwood Forest,Conifer,30
229,229,1179.000000000000000,180,761,Agriculture,10150_2_3_4,California Coastal Redwood Forest,Conifer,30
230,230,51.000000000000000,132,761,Barren or Sparse,10150_2_3_4,California Coastal Redwood Forest,Conifer,30
231,231,88.000000000000000,180,769,Agriculture,10320_2_3_7,Mediterranean California Red Fir Forest,Conifer,25
232,232,6.000000000000000,7,769,UE,10320_2_3_7,Mediterranean California Red Fir Forest,Conifer,25
233,233,1.000000000000000,1,798,A,10280_4_6_7_12,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Conifer,17
